	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000074870	6.06	4.50	0.00	10.42	7.68	9.76	22.21	2.61	2.29	10.17	48.43	5.82
ENSMUSG00000031756	191.17	338.51	3.97	385.33	318.42	124.80	1139.54	358.69	106.53	289.52	460.31	450.38
ENSMUSG00000067599	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000038005	879.88	1260.54	34.76	1659.62	1501.74	201.06	1000.39	1664.25	1837.23	1998.82	356.75	1941.11
ENSMUSG00000080671	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098513	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095916	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065274	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105085	2.06	1.46	0.00	1.92	0.00	0.00	1.90	0.00	2.82	0.00	0.00	1.82
ENSMUSG00000024959	28.38	32.87	54.88	3.29	14.66	42.70	1.34	1.86	2.06	0.68	0.00	0.83
ENSMUSG00000108608	0.72	1.50	0.00	2.10	0.91	1.41	5.65	0.80	2.33	1.47	5.25	2.48
ENSMUSG00000094485	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027350	0.00	0.49	1.25	2.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000080730	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031931	47.26	34.75	13.56	50.12	37.41	13.56	85.26	64.38	95.76	63.80	63.33	53.30
ENSMUSG00000087795	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025197	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.59
ENSMUSG00000083643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
